,,Donald J. Trump,Hillary Clinton,Grand Total
,0,,,0
2016-02-29,,3046389,876082,3922471
2016-03-07,,4717519,1135144,5852663
2016-03-14,,6702447,1518505,8220952
2016-03-21,,7175184,1201621,8376805
2016-03-28,,5689397,1196359,6885756
2016-04-04,,4010253,1064003,5074256
2016-04-11,,4061019,783158,4844177
2016-04-18,,4346326,1496004,5842330
2016-04-25,,4885885,1233682,6119567
2016-05-02,,5958286,1089520,7047806
2016-05-09,,4420304,1120890,5541194
2016-05-16,,3587916,959976,4547892
2016-05-23,,3458810,819540,4278350
2016-05-30,,3710744,809885,4520629
2016-06-06,,4002091,3793734,7795825
2016-06-13,,7166599,1972595,9139194
2016-06-20,,5156098,1823162,6979260
2016-06-27,,3342846,1242701,4585547
2016-07-04,,3732931,1527613,5260544
2016-07-11,,6033731,1826644,7860375
2016-07-18,,8023146,1390269,9413415
2016-07-25,,8516815,4364038,12880853
2016-08-01,,7110347,3487407,10597754
2016-08-08,,4462417,1758474,6220891
2016-08-15,,4468665,1267103,5735768
2016-08-22,,3922036,1792507,5714543
2016-08-29,,3077409,1229374,4306783
2016-09-05,,4037739,1386918,5424657
2016-09-12,,3509968,1953398,5463366
2016-09-19,,3037175,2370107,5407282
2016-09-26,,5662724,5904069,11566793
2016-10-03,,5323130,3365420,8688550
2016-10-10,,11395542,4390952,15786494
2016-10-17,,12208693,4966005,17174698
2016-10-24,,9677732,4366665,14044397
2016-10-31,,9285370,4021491,13306861
2016-11-07,,24183944,10563943,34747887
